feature_set,horizon,episodes,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared,auprc_episode_ci_low,auprc_episode_ci_high,auprc_task_cluster_ci_low,auprc_task_cluster_ci_high,auroc_episode_ci_low,auroc_episode_ci_high,auroc_task_cluster_ci_low,auroc_task_cluster_ci_high,brier_episode_ci_low,brier_episode_ci_high,brier_task_cluster_ci_low,brier_task_cluster_ci_high,task_centered_auprc_episode_ci_low,task_centered_auprc_episode_ci_high,task_centered_auprc_task_cluster_ci_low,task_centered_auprc_task_cluster_ci_high,task_centered_auroc_episode_ci_low,task_centered_auroc_episode_ci_high,task_centered_auroc_task_cluster_ci_low,task_centered_auroc_task_cluster_ci_high,within_task_pairwise_auc_episode_ci_low,within_task_pairwise_auc_episode_ci_high,within_task_pairwise_auc_task_cluster_ci_low,within_task_pairwise_auc_task_cluster_ci_high,task_eta_squared_episode_ci_low,task_eta_squared_episode_ci_high,task_eta_squared_task_cluster_ci_low,task_eta_squared_task_cluster_ci_high
action_expert_final,0,400,0.3625,0.5259877543187188,0.6256118999323868,0.23101618434179066,0.41692625422508445,0.5478025693035835,0.5425361155698234,33,623,0.8949121749620007,0.4478066804030622,0.6141242013726489,0.38943617995371305,0.6762411076708825,0.5674674840172897,0.6842520797255638,0.5213928347531068,0.7229679831008811,0.20638550581215742,0.2565727152732037,0.18866874352232157,0.27593476447531745,0.3490091150529138,0.49087107581393913,0.3226841492773969,0.5220732780433027,0.48633237393353396,0.5961505178799433,0.4864563815497051,0.6101092752457481,0.44067564217767174,0.6414692366449831,0.44973023383906663,0.6288237071214743,0.8845636645451089,0.9217039720435203,0.8352767109868667,0.9277131317625624
layer_action_expert_layer_15,0,400,0.3625,0.5259877543187188,0.6256118999323868,0.23101618434179066,0.41692625422508445,0.5478025693035835,0.5425361155698234,33,623,0.8949121749620007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robot_state,0,400,0.3625,0.5040902802828215,0.5850169033130493,0.22240985452381082,0.35203809359350224,0.48997971602434076,0.4911717495987159,33,623,0.9912472125182133,0.4246382906156079,0.591922220573822,0.36119230090547966,0.6512166800840271,0.5217184319788394,0.6445033880639819,0.4782324028897833,0.6902251858908205,0.20301078686542182,0.2424449231989804,0.19162766042789647,0.25463617109345515,0.3007915489154267,0.4150562809169943,0.2622524420063913,0.4569851353825639,0.43683669693928007,0.5404063959729252,0.4396478053936794,0.5396227093312579,0.394815067394095,0.5780792511261261,0.4283107517482518,0.560875157276667,0.9903503627905971,0.9935761795293974,0.9845069603001999,0.9940587856921028
vlm_action_expert,0,400,0.3625,0.4901792594766954,0.618498985801217,0.2415952196117916,0.4232657760478764,0.5261392832995266,0.5264847512038523,33,623,0.9039418672308229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all_diagnostic_features,0,400,0.3625,0.4871701252976068,0.6141987829614604,0.24130824379934857,0.4141289184260023,0.5195943204868154,0.5200642054574639,33,623,0.896763261750367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_vlm_layer_07,0,400,0.3625,0.46053725391593153,0.6027045300878973,0.24606217910634334,0.391853394651257,0.4972549019607843,0.5152487961476726,33,623,0.8245766726333357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_vlm_layer_03,0,400,0.3625,0.45614635975442763,0.5954293441514538,0.2498474472449398,0.398771775719826,0.5004462474645031,0.5264847512038523,33,623,0.8224555927778697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_vlm_layer_11,0,400,0.3625,0.45497277783992673,0.5942663962136578,0.2510758237022007,0.39633573400219224,0.5006626098715348,0.521669341894061,33,623,0.8311508178459779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_action_expert_layer_07,0,400,0.3625,0.4536962198414283,0.5777146720757268,0.249771026864508,0.3813768692968975,0.510101419878296,0.5136436597110754,33,623,0.8559812399940107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_action_expert_layer_11,0,400,0.3625,0.44470660350200636,0.5977281947261663,0.24737872031261193,0.3983551994529434,0.5169709263015552,0.5056179775280899,33,623,0.898548151898693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
