feature_set,horizon,held_out_suite,episodes,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared
action_expert_final,0,libero_10,100,0.56,0.6995221518930843,0.6481331168831168,0.2961270604137181,0.5760567591070002,0.492288961038961,0.42592592592592593,8,162,0.9234140040464262
action_expert_final,0,libero_goal,100,0.17,0.14582272836785598,0.4195605953224663,0.17343817591030658,0.15146140183846876,0.40892983699503893,0.44715447154471544,8,123,0.7357095032865189
action_expert_final,0,libero_object,100,0.33,0.4052139063664436,0.582994120307553,0.2711369498812362,0.4506741144622953,0.6336499321573948,0.6449704142011834,9,169,0.5160787792189274
action_expert_final,0,libero_spatial,100,0.39,0.4577708214453281,0.5754518705338378,0.31962401384495637,0.48957510445393976,0.5876418663303908,0.6331360946745562,8,169,0.9361960995011798
action_uncertainty,0,libero_10,100,0.56,0.5976270194451933,0.586038961038961,0.2571130877333622,0.5797227283133766,0.5397727272727273,0.47530864197530864,8,162,0.6106671388215422
action_uncertainty,0,libero_goal,100,0.17,0.12655203546707428,0.3203401842664777,0.24877304203239248,0.14567875979693085,0.39475549255846915,0.3821138211382114,8,123,0.6461279792549596
action_uncertainty,0,libero_object,100,0.33,0.3900004469482009,0.5042966983265491,0.23738115777261803,0.3410515537820782,0.46766169154228854,0.4319526627218935,9,169,0.4141788466852138
action_uncertainty,0,libero_spatial,100,0.39,0.33734380186387725,0.39512400168137873,0.25572759911061116,0.3261849136028543,0.3888188314417823,0.4260355029585799,8,169,0.3487078011236666
policy_output,0,libero_10,100,0.56,0.5666843156170377,0.5722402597402597,0.26299200353639895,0.5912840252813907,0.5738636363636362,0.5925925925925926,8,162,0.7757062103957705
policy_output,0,libero_goal,100,0.17,0.16380321252140487,0.49326718639262934,0.33087321121287494,0.19945908900738407,0.5329553508150249,0.5203252032520326,8,123,0.870391600709557
policy_output,0,libero_object,100,0.33,0.3141070490038842,0.48756218905472637,0.2816694767434201,0.2912070847356999,0.4495703301673451,0.41420118343195267,9,169,0.2729819668595882
policy_output,0,libero_spatial,100,0.39,0.44791097749382114,0.5334174022698612,0.25819846735855273,0.4443051122057444,0.5620008406893653,0.591715976331361,8,169,0.6067986075361854
robot_state,0,libero_10,100,0.56,0.725639632792143,0.6582792207792207,0.298708239885685,0.6237138311762905,0.5612824675324676,0.5925925925925926,8,162,0.31829288719437154
robot_state,0,libero_goal,100,0.17,0.15617395942644013,0.4535790219702338,0.14897176879623786,0.16403946912194528,0.47058823529411764,0.4959349593495935,8,123,0.12380677060179611
robot_state,0,libero_object,100,0.33,0.3640176573514511,0.5101763907734057,0.6533186810883354,0.3727097069258749,0.4902758932609679,0.5029585798816568,9,169,0.0960902778553111
robot_state,0,libero_spatial,100,0.39,0.32319220903449675,0.3921815889029004,0.2729529107572224,0.33736370292979445,0.4270701975620009,0.3905325443786982,8,169,0.02168599762558554
state_action_history,0,libero_10,100,0.56,0.6028392218911982,0.5969967532467533,0.2568899011394045,0.5682044587619063,0.502435064935065,0.4567901234567901,8,162,0.8909986189133492
state_action_history,0,libero_goal,100,0.17,0.17319600074971314,0.5060240963855422,0.19703462022702872,0.22193103117000978,0.5435861091424522,0.5447154471544715,8,123,0.8002930939865855
state_action_history,0,libero_object,100,0.33,0.3922022314043273,0.5395748530076888,0.3141972472324721,0.2745974718499297,0.39891451831750335,0.3727810650887574,9,169,0.6825186780824167
state_action_history,0,libero_spatial,100,0.39,0.3402869473271189,0.38545607398066417,0.28490514514048676,0.43156872283302133,0.5174443043295502,0.5266272189349113,8,169,0.7348131018125577
