feature_set,horizon,suite,episodes,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared
action_expert_final,0,libero_10,100,0.56,0.7794637219729713,0.6838474025974027,0.26001591734246554,0.5352931565392776,0.461038961038961,0.41358024691358025,8,162,0.9444992442281401
action_expert_final,0,libero_goal,100,0.17,0.19942615029967503,0.44436569808646353,0.1525904122532974,0.2489476510035738,0.43373493975903615,0.43089430894308944,8,123,0.5087578507834322
action_expert_final,0,libero_object,100,0.33,0.3935976472407022,0.5757575757575757,0.2346216646239815,0.47126436817779194,0.623699683401176,0.6390532544378699,9,169,0.659775162531002
action_expert_final,0,libero_spatial,100,0.39,0.41460316600997116,0.548129466162253,0.276836743147418,0.48687875618387544,0.6216897856242118,0.650887573964497,8,169,0.9034711875775734
action_uncertainty,0,libero_10,100,0.56,0.668249430876292,0.650974025974026,0.25324850100065477,0.5836007179736522,0.515827922077922,0.48148148148148145,8,162,0.37098194053423655
action_uncertainty,0,libero_goal,100,0.17,0.17001120466886052,0.4975194897236003,0.2536402706800848,0.17915544687454937,0.44294826364280654,0.4878048780487805,8,123,0.6898747306281204
action_uncertainty,0,libero_object,100,0.33,0.39005571766191693,0.5291723202170963,0.2409934162880376,0.31960588030310977,0.4414292175486205,0.4319526627218935,9,169,0.3561171579084913
action_uncertainty,0,libero_spatial,100,0.39,0.3562913289062582,0.41866330390920553,0.253711681423677,0.34939795721328915,0.39638503572929806,0.3668639053254438,8,169,0.5293187790542717
all_diagnostic_features,0,libero_10,100,0.56,0.757092756133336,0.6749188311688312,0.25450598892159065,0.6216093912080666,0.5202922077922078,0.4506172839506173,8,162,0.9401054584365526
all_diagnostic_features,0,libero_goal,100,0.17,0.15859829628082614,0.4755492558469171,0.1604235410817247,0.2089886915633405,0.5067328136073707,0.5934959349593496,8,123,0.7132263290520415
