branch_id,query_id,state_id,source_task_id,source_episode_id,source_episode_index,source_seed,source_goal,target_goal,landmark_step,proposal_seed,continuation_schedule,steps_executed,first_plan_steps,continuation_replans,terminal_reason,underlying_done,success,target_goal_first_step,source_goal_first_step,other_goal_first_step,target_reached,source_goal_reached,target_in_first_plan,source_goal_in_first_plan,source_reconstruction_recorded,first10_drawer,first10_cabinet,first10_bowl_displacement_norm,first10_eef_displacement_norm,first10_contact_count,first10_grasped_count,first_plan_drawer,first_plan_cabinet,first_plan_bowl_displacement_norm,first_plan_eef_displacement_norm,first_plan_contact_count,first_plan_grasped_count,final_drawer,final_cabinet,final_bowl_displacement_norm,final_eef_displacement_norm,final_contact_count,final_grasped_count
task03_ep000_step0050__goal_cabinet__proposal_101__continuation_0,task03_ep000_step0050__goal_cabinet__proposal_101,task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,0,0,drawer,cabinet,50,101,0,150,50,2,horizon,False,0,,,,0,0,0,0,1,False,False,0.0,0.06727098492043569,37,0,False,False,0.0,0.17778863481587528,37,0,False,False,0.0704493677980009,0.21198394318069883,37,0
task03_ep000_step0050__goal_cabinet__proposal_101__continuation_1,task03_ep000_step0050__goal_cabinet__proposal_101,task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,0,0,drawer,cabinet,50,101,1,150,50,2,horizon,False,0,,,,0,0,0,0,1,False,False,0.0,0.06727098492043569,37,0,False,False,0.0,0.17778863481587528,37,0,False,False,0.03640769046822606,0.22878916332474417,37,0
task03_ep000_step0050__goal_cabinet__proposal_202__continuation_0,task03_ep000_step0050__goal_cabinet__proposal_202,task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,0,0,drawer,cabinet,50,202,0,150,50,2,horizon,False,0,,,,0,0,0,0,1,False,False,0.0,0.06999223496179452,37,0,False,False,0.0,0.18227725795587577,37,0,False,False,0.05985724434453149,0.1947251263779541,37,0
task03_ep000_step0050__goal_cabinet__proposal_202__continuation_1,task03_ep000_step0050__goal_cabinet__proposal_202,task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,0,0,drawer,cabinet,50,202,1,150,50,2,horizon,False,0,,,,0,0,0,0,1,False,False,0.0,0.06999223496179452,37,0,False,False,0.0,0.18227725795587577,37,0,False,False,0.062029145456426404,0.20567175499764495,37,0
task03_ep000_step0050__goal_cabinet__proposal_303__continuation_0,task03_ep000_step0050__goal_cabinet__proposal_303,task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,0,0,drawer,cabinet,50,303,0,150,50,2,horizon,False,0,,,,0,0,0,0,1,False,False,0.0,0.07021794998365306,37,0,False,False,0.0,0.17935742228939294,37,0,False,False,0.033775788752620016,0.2272408752624529,37,0
task03_ep000_step0050__goal_cabinet__proposal_303__continuation_1,task03_ep000_step0050__goal_cabinet__proposal_303,task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,0,0,drawer,cabinet,50,303,1,150,50,2,horizon,False,0,,,,0,0,0,0,1,False,False,0.0,0.07021794998365306,37,0,False,False,0.0,0.17935742228939294,37,0,False,False,0.02956960156001987,0.18658702473888425,37,0
task03_ep000_step0050__goal_cabinet__proposal_404__continuation_0,task03_ep000_step0050__goal_cabinet__proposal_404,task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,0,0,drawer,cabinet,50,404,0,150,50,2,horizon,False,0,,,,0,0,0,0,1,False,False,0.0,0.07020119010183733,37,0,False,False,0.0,0.18231208390989598,37,0,False,False,0.062404665179296014,0.20055268185947256,37,0
task03_ep000_step0050__goal_cabinet__proposal_404__continuation_1,task03_ep000_step0050__goal_cabinet__proposal_404,task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,0,0,drawer,cabinet,50,404,1,150,50,2,horizon,False,0,,,,0,0,0,0,1,False,False,0.0,0.07020119010183733,37,0,False,False,0.0,0.18231208390989598,37,0,False,False,0.04540254037014919,0.19304921379034293,21,0
task03_ep000_step0050__goal_drawer__proposal_101__continuation_0,task03_ep000_step0050__goal_drawer__proposal_101,task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,0,0,drawer,drawer,50,101,0,150,50,2,horizon,False,0,,,,0,0,0,0,1,False,False,0.0,0.07493637063937404,38,0,False,False,0.0,0.2043635619436105,37,0,False,False,0.13222939964127506,0.24822914982855795,25,0
task03_ep000_step0050__goal_drawer__proposal_101__continuation_1,task03_ep000_step0050__goal_drawer__proposal_101,task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,0,0,drawer,drawer,50,101,1,150,50,2,horizon,False,0,,,,0,0,0,0,1,False,False,0.0,0.07493637063937404,38,0,False,False,0.0,0.2043635619436105,37,0,False,False,0.11606249508411881,0.24848393685032477,24,0
