target,rows,groups,baseline_dimensions,hidden_dimensions,ridge_alpha,baseline_rmse,augmented_rmse,baseline_mae,augmented_mae,hidden_mse_improvement,hidden_mse_improvement_ci_low,hidden_mse_improvement_ci_high,primary_alpha
V,20,8,3299,10,100.0,0.385619655072514,0.38933695297469173,0.3214054862068827,0.3238999991681978,-0.00288074457337265,-0.0050075517107603575,-0.0004240968579992817,True
Q_preexecution,80,8,3290,26,100.0,0.44400568433523696,0.4523379946622284,0.34612317760214767,0.3462198611295553,-0.007468613693044091,-0.019068997598910814,0.0025580429234195938,True
Q_effect_controlled,80,8,3303,26,100.0,0.4130642615012537,0.42210551651362876,0.3177418544934853,0.319526163863025,-0.0075509829416612285,-0.018180209710825238,0.0025332464939858542,True
L_effect_controlled,80,8,3303,16,100.0,0.19965639337340177,0.19934693767892492,0.11809028889233057,0.1180922732845934,0.00012347385290937732,-0.0006401373789830707,0.0008342527811358733,True
V,20,8,3299,10,10.0,0.36408395056103804,0.3684937749909381,0.3040291250336319,0.3074540391816756,-0.003230539150939752,-0.005738164752866847,-0.0008079215905676663,False
Q_preexecution,80,8,3290,26,10.0,0.4927864738459982,0.5120398336274034,0.3898067483907604,0.41406177010476614,-0.019346282415606243,-0.03893353942213166,-0.000666099283184883,False
Q_effect_controlled,80,8,3303,26,10.0,0.41558280559016525,0.435158061689746,0.2994477293489867,0.32707336980318014,-0.016653470351383728,-0.031389934809688144,-0.004435862854783937,False
L_effect_controlled,80,8,3303,16,10.0,0.2788716228703219,0.2778206995477304,0.1945840149784906,0.19886163732214368,0.0005850409451367653,-0.010958544477890715,0.012212184331149845,False
V,20,8,3299,10,1000.0,0.45489641425528154,0.45594949157412124,0.4319343460627577,0.432678496299255,-0.0009591911643868814,-0.002148583288573176,0.00041348693839808517,False
Q_preexecution,80,8,3290,26,1000.0,0.4617159921669638,0.4670759094511966,0.38544905851133837,0.3866680724024478,-0.004978247766938617,-0.011501590575031563,0.0017074458045860804,False
Q_effect_controlled,80,8,3303,26,1000.0,0.4525615412918051,0.45804398008002845,0.375037892559163,0.37648099451966066,-0.004992339031139328,-0.01124106990797086,0.0014870258790382733,False
L_effect_controlled,80,8,3303,16,1000.0,0.1985414157519285,0.19849458496199968,0.11111914849157141,0.11103342286607013,1.8593509543609478e-05,-3.727637252520506e-05,5.860698058474436e-05,False
