state_id,source_episode_id,source_goal,target_goal,V,target_reached_rate,source_goal_reached_rate,target_in_first_plan_rate,source_goal_in_first_plan_rate,mean_steps
task03_ep000_step0050,libero_goal_task03_ep000_seed0,drawer,cabinet,0.0,0.0,0.0,0.0,0.0,150.0
task03_ep000_step0050,libero_goal_task03_ep000_seed0,drawer,drawer,0.125,0.125,0.125,0.0,0.0,146.875
task03_ep000_step0100,libero_goal_task03_ep000_seed0,drawer,cabinet,0.125,0.125,0.0,0.0,0.0,140.75
task03_ep000_step0100,libero_goal_task03_ep000_seed0,drawer,drawer,0.25,0.25,0.25,0.0,0.0,137.625
task03_ep001_step0050,libero_goal_task03_ep001_seed1,drawer,cabinet,0.5,0.5,0.0,0.0,0.0,134.5
task03_ep001_step0050,libero_goal_task03_ep001_seed1,drawer,drawer,0.875,0.875,0.875,0.0,0.0,129.5
task03_ep001_step0100,libero_goal_task03_ep001_seed1,drawer,cabinet,1.0,1.0,0.0,0.0,0.0,70.875
task03_ep001_step0100,libero_goal_task03_ep001_seed1,drawer,drawer,1.0,1.0,1.0,0.0,0.0,78.25
task03_ep003_step0100,libero_goal_task03_ep003_seed3,drawer,cabinet,0.25,0.25,0.0,0.0,0.0,129.75
task03_ep003_step0100,libero_goal_task03_ep003_seed3,drawer,drawer,0.0,0.0,0.0,0.0,0.0,150.0
task04_ep000_step0050,libero_goal_task04_ep000_seed0,cabinet,cabinet,1.0,1.0,1.0,1.0,1.0,36.75
task04_ep000_step0050,libero_goal_task04_ep000_seed0,cabinet,drawer,0.0,0.0,0.0,0.0,0.0,150.0
task04_ep001_step0050,libero_goal_task04_ep001_seed1,cabinet,cabinet,1.0,1.0,1.0,1.0,1.0,29.0
task04_ep001_step0050,libero_goal_task04_ep001_seed1,cabinet,drawer,0.0,0.0,0.0,0.0,0.0,150.0
task04_ep002_step0050,libero_goal_task04_ep002_seed2,cabinet,cabinet,1.0,1.0,1.0,1.0,1.0,35.75
task04_ep002_step0050,libero_goal_task04_ep002_seed2,cabinet,drawer,0.0,0.0,0.0,0.0,0.0,150.0
task04_ep003_step0050,libero_goal_task04_ep003_seed3,cabinet,cabinet,1.0,1.0,1.0,1.0,1.0,33.0
task04_ep003_step0050,libero_goal_task04_ep003_seed3,cabinet,drawer,0.0,0.0,0.0,0.0,0.0,150.0
task04_ep004_step0050,libero_goal_task04_ep004_seed4,cabinet,cabinet,1.0,1.0,1.0,1.0,1.0,34.25
task04_ep004_step0050,libero_goal_task04_ep004_seed4,cabinet,drawer,0.0,0.0,0.0,0.0,0.0,150.0
