state_id,source_task_id,source_episode_id,source_goal,target_goal,landmark_step,proposal_seed,successes,trials,Q,Q_eb,V,V_eb,L,L_eb
task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,drawer,cabinet,50,101,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,drawer,cabinet,50,202,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,drawer,cabinet,50,303,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,drawer,cabinet,50,404,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,drawer,drawer,50,101,0,2,0.0,0.228125,0.125,0.19125,-0.125,0.03687499999999999
task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,drawer,drawer,50,202,0,2,0.0,0.228125,0.125,0.19125,-0.125,0.03687499999999999
task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,drawer,drawer,50,303,0,2,0.0,0.228125,0.125,0.19125,-0.125,0.03687499999999999
task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,drawer,drawer,50,404,1,2,0.5,0.478125,0.125,0.19125,0.375,0.286875
task03_ep000_step0100,3,libero_goal_task03_ep000_seed0,drawer,cabinet,100,101,0,2,0.0,0.228125,0.125,0.19125,-0.125,0.03687499999999999
task03_ep000_step0100,3,libero_goal_task03_ep000_seed0,drawer,cabinet,100,202,0,2,0.0,0.228125,0.125,0.19125,-0.125,0.03687499999999999
task03_ep000_step0100,3,libero_goal_task03_ep000_seed0,drawer,cabinet,100,303,1,2,0.5,0.478125,0.125,0.19125,0.375,0.286875
task03_ep000_step0100,3,libero_goal_task03_ep000_seed0,drawer,cabinet,100,404,0,2,0.0,0.228125,0.125,0.19125,-0.125,0.03687499999999999
task03_ep000_step0100,3,libero_goal_task03_ep000_seed0,drawer,drawer,100,101,0,2,0.0,0.228125,0.25,0.29125,-0.25,-0.06312500000000001
task03_ep000_step0100,3,libero_goal_task03_ep000_seed0,drawer,drawer,100,202,2,2,1.0,0.728125,0.25,0.29125,0.75,0.436875
task03_ep000_step0100,3,libero_goal_task03_ep000_seed0,drawer,drawer,100,303,0,2,0.0,0.228125,0.25,0.29125,-0.25,-0.06312500000000001
task03_ep000_step0100,3,libero_goal_task03_ep000_seed0,drawer,drawer,100,404,0,2,0.0,0.228125,0.25,0.29125,-0.25,-0.06312500000000001
task03_ep001_step0050,3,libero_goal_task03_ep001_seed1,drawer,cabinet,50,101,0,2,0.0,0.228125,0.5,0.49124999999999996,-0.5,-0.26312499999999994
task03_ep001_step0050,3,libero_goal_task03_ep001_seed1,drawer,cabinet,50,202,2,2,1.0,0.728125,0.5,0.49124999999999996,0.5,0.23687500000000006
task03_ep001_step0050,3,libero_goal_task03_ep001_seed1,drawer,cabinet,50,303,0,2,0.0,0.228125,0.5,0.49124999999999996,-0.5,-0.26312499999999994
task03_ep001_step0050,3,libero_goal_task03_ep001_seed1,drawer,cabinet,50,404,2,2,1.0,0.728125,0.5,0.49124999999999996,0.5,0.23687500000000006
task03_ep001_step0050,3,libero_goal_task03_ep001_seed1,drawer,drawer,50,101,2,2,1.0,0.728125,0.875,0.79125,0.125,-0.06312499999999999
task03_ep001_step0050,3,libero_goal_task03_ep001_seed1,drawer,drawer,50,202,1,2,0.5,0.478125,0.875,0.79125,-0.375,-0.313125
task03_ep001_step0050,3,libero_goal_task03_ep001_seed1,drawer,drawer,50,303,2,2,1.0,0.728125,0.875,0.79125,0.125,-0.06312499999999999
task03_ep001_step0050,3,libero_goal_task03_ep001_seed1,drawer,drawer,50,404,2,2,1.0,0.728125,0.875,0.79125,0.125,-0.06312499999999999
task03_ep001_step0100,3,libero_goal_task03_ep001_seed1,drawer,cabinet,100,101,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task03_ep001_step0100,3,libero_goal_task03_ep001_seed1,drawer,cabinet,100,202,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task03_ep001_step0100,3,libero_goal_task03_ep001_seed1,drawer,cabinet,100,303,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task03_ep001_step0100,3,libero_goal_task03_ep001_seed1,drawer,cabinet,100,404,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task03_ep001_step0100,3,libero_goal_task03_ep001_seed1,drawer,drawer,100,101,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task03_ep001_step0100,3,libero_goal_task03_ep001_seed1,drawer,drawer,100,202,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task03_ep001_step0100,3,libero_goal_task03_ep001_seed1,drawer,drawer,100,303,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task03_ep001_step0100,3,libero_goal_task03_ep001_seed1,drawer,drawer,100,404,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task03_ep003_step0100,3,libero_goal_task03_ep003_seed3,drawer,cabinet,100,101,0,2,0.0,0.228125,0.25,0.29125,-0.25,-0.06312500000000001
task03_ep003_step0100,3,libero_goal_task03_ep003_seed3,drawer,cabinet,100,202,0,2,0.0,0.228125,0.25,0.29125,-0.25,-0.06312500000000001
task03_ep003_step0100,3,libero_goal_task03_ep003_seed3,drawer,cabinet,100,303,2,2,1.0,0.728125,0.25,0.29125,0.75,0.436875
task03_ep003_step0100,3,libero_goal_task03_ep003_seed3,drawer,cabinet,100,404,0,2,0.0,0.228125,0.25,0.29125,-0.25,-0.06312500000000001
task03_ep003_step0100,3,libero_goal_task03_ep003_seed3,drawer,drawer,100,101,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task03_ep003_step0100,3,libero_goal_task03_ep003_seed3,drawer,drawer,100,202,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task03_ep003_step0100,3,libero_goal_task03_ep003_seed3,drawer,drawer,100,303,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task03_ep003_step0100,3,libero_goal_task03_ep003_seed3,drawer,drawer,100,404,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep000_step0050,4,libero_goal_task04_ep000_seed0,cabinet,cabinet,50,101,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep000_step0050,4,libero_goal_task04_ep000_seed0,cabinet,cabinet,50,202,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep000_step0050,4,libero_goal_task04_ep000_seed0,cabinet,cabinet,50,303,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep000_step0050,4,libero_goal_task04_ep000_seed0,cabinet,cabinet,50,404,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep000_step0050,4,libero_goal_task04_ep000_seed0,cabinet,drawer,50,101,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep000_step0050,4,libero_goal_task04_ep000_seed0,cabinet,drawer,50,202,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep000_step0050,4,libero_goal_task04_ep000_seed0,cabinet,drawer,50,303,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep000_step0050,4,libero_goal_task04_ep000_seed0,cabinet,drawer,50,404,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep001_step0050,4,libero_goal_task04_ep001_seed1,cabinet,cabinet,50,101,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep001_step0050,4,libero_goal_task04_ep001_seed1,cabinet,cabinet,50,202,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep001_step0050,4,libero_goal_task04_ep001_seed1,cabinet,cabinet,50,303,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep001_step0050,4,libero_goal_task04_ep001_seed1,cabinet,cabinet,50,404,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep001_step0050,4,libero_goal_task04_ep001_seed1,cabinet,drawer,50,101,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep001_step0050,4,libero_goal_task04_ep001_seed1,cabinet,drawer,50,202,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep001_step0050,4,libero_goal_task04_ep001_seed1,cabinet,drawer,50,303,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep001_step0050,4,libero_goal_task04_ep001_seed1,cabinet,drawer,50,404,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep002_step0050,4,libero_goal_task04_ep002_seed2,cabinet,cabinet,50,101,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep002_step0050,4,libero_goal_task04_ep002_seed2,cabinet,cabinet,50,202,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep002_step0050,4,libero_goal_task04_ep002_seed2,cabinet,cabinet,50,303,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep002_step0050,4,libero_goal_task04_ep002_seed2,cabinet,cabinet,50,404,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep002_step0050,4,libero_goal_task04_ep002_seed2,cabinet,drawer,50,101,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep002_step0050,4,libero_goal_task04_ep002_seed2,cabinet,drawer,50,202,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep002_step0050,4,libero_goal_task04_ep002_seed2,cabinet,drawer,50,303,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep002_step0050,4,libero_goal_task04_ep002_seed2,cabinet,drawer,50,404,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep003_step0050,4,libero_goal_task04_ep003_seed3,cabinet,cabinet,50,101,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep003_step0050,4,libero_goal_task04_ep003_seed3,cabinet,cabinet,50,202,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep003_step0050,4,libero_goal_task04_ep003_seed3,cabinet,cabinet,50,303,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep003_step0050,4,libero_goal_task04_ep003_seed3,cabinet,cabinet,50,404,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep003_step0050,4,libero_goal_task04_ep003_seed3,cabinet,drawer,50,101,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep003_step0050,4,libero_goal_task04_ep003_seed3,cabinet,drawer,50,202,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep003_step0050,4,libero_goal_task04_ep003_seed3,cabinet,drawer,50,303,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep003_step0050,4,libero_goal_task04_ep003_seed3,cabinet,drawer,50,404,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep004_step0050,4,libero_goal_task04_ep004_seed4,cabinet,cabinet,50,101,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep004_step0050,4,libero_goal_task04_ep004_seed4,cabinet,cabinet,50,202,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep004_step0050,4,libero_goal_task04_ep004_seed4,cabinet,cabinet,50,303,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep004_step0050,4,libero_goal_task04_ep004_seed4,cabinet,cabinet,50,404,2,2,1.0,0.728125,1.0,0.89125,0.0,-0.16312499999999996
task04_ep004_step0050,4,libero_goal_task04_ep004_seed4,cabinet,drawer,50,101,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep004_step0050,4,libero_goal_task04_ep004_seed4,cabinet,drawer,50,202,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep004_step0050,4,libero_goal_task04_ep004_seed4,cabinet,drawer,50,303,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
task04_ep004_step0050,4,libero_goal_task04_ep004_seed4,cabinet,drawer,50,404,0,2,0.0,0.228125,0.0,0.09125,0.0,0.136875
