state_id,source_task_id,source_episode_id,source_goal,target_goal,landmark_step,successes,trials,V,wilson_low,wilson_high,V_eb
task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,drawer,cabinet,50,0,8,0.0,0.0,0.32440756488388023,0.09125
task03_ep000_step0050,3,libero_goal_task03_ep000_seed0,drawer,drawer,50,1,8,0.125,0.02241749145005667,0.4708881822128535,0.19125
task03_ep000_step0100,3,libero_goal_task03_ep000_seed0,drawer,cabinet,100,1,8,0.125,0.02241749145005667,0.4708881822128535,0.19125
task03_ep000_step0100,3,libero_goal_task03_ep000_seed0,drawer,drawer,100,2,8,0.25,0.071479212752109,0.5907245696898311,0.29125
task03_ep001_step0050,3,libero_goal_task03_ep001_seed1,drawer,cabinet,50,4,8,0.5,0.21521606221387757,0.7847839377861224,0.49124999999999996
task03_ep001_step0050,3,libero_goal_task03_ep001_seed1,drawer,drawer,50,7,8,0.875,0.5291118177871464,0.9775825085499433,0.79125
task03_ep001_step0100,3,libero_goal_task03_ep001_seed1,drawer,cabinet,100,8,8,1.0,0.6755924351161198,1.0,0.89125
task03_ep001_step0100,3,libero_goal_task03_ep001_seed1,drawer,drawer,100,8,8,1.0,0.6755924351161198,1.0,0.89125
task03_ep003_step0100,3,libero_goal_task03_ep003_seed3,drawer,cabinet,100,2,8,0.25,0.071479212752109,0.5907245696898311,0.29125
task03_ep003_step0100,3,libero_goal_task03_ep003_seed3,drawer,drawer,100,0,8,0.0,0.0,0.32440756488388023,0.09125
task04_ep000_step0050,4,libero_goal_task04_ep000_seed0,cabinet,cabinet,50,8,8,1.0,0.6755924351161198,1.0,0.89125
task04_ep000_step0050,4,libero_goal_task04_ep000_seed0,cabinet,drawer,50,0,8,0.0,0.0,0.32440756488388023,0.09125
task04_ep001_step0050,4,libero_goal_task04_ep001_seed1,cabinet,cabinet,50,8,8,1.0,0.6755924351161198,1.0,0.89125
task04_ep001_step0050,4,libero_goal_task04_ep001_seed1,cabinet,drawer,50,0,8,0.0,0.0,0.32440756488388023,0.09125
task04_ep002_step0050,4,libero_goal_task04_ep002_seed2,cabinet,cabinet,50,8,8,1.0,0.6755924351161198,1.0,0.89125
task04_ep002_step0050,4,libero_goal_task04_ep002_seed2,cabinet,drawer,50,0,8,0.0,0.0,0.32440756488388023,0.09125
task04_ep003_step0050,4,libero_goal_task04_ep003_seed3,cabinet,cabinet,50,8,8,1.0,0.6755924351161198,1.0,0.89125
task04_ep003_step0050,4,libero_goal_task04_ep003_seed3,cabinet,drawer,50,0,8,0.0,0.0,0.32440756488388023,0.09125
task04_ep004_step0050,4,libero_goal_task04_ep004_seed4,cabinet,cabinet,50,8,8,1.0,0.6755924351161198,1.0,0.89125
task04_ep004_step0050,4,libero_goal_task04_ep004_seed4,cabinet,drawer,50,0,8,0.0,0.0,0.32440756488388023,0.09125
