near_source_id,low_source_id,same_source,same_root_final_timestep,oracle_balance_all_goals_estimable,proposal_outcome_all_goals_estimable,strict_oracle_balance_pass,support_pair_id,support_distance_difference,planned_recovery_mismatch,realized_recovery_mismatch,planned_goal_mismatches,realized_goal_mismatches,drawer_oracle_balance_estimable,drawer_proposal_outcome_estimable,drawer_same_proposal_bank,drawer_same_execution_contract,drawer_near_execution_mode,drawer_low_execution_mode,drawer_selected_proposal_match,drawer_shared_success_count,drawer_success_set_jaccard,drawer_matched_cost_proposal_index,drawer_budgeted_cost_mismatch,drawer_executed_step_mismatch,drawer_active_step_mismatch,drawer_eef_path_mismatch,drawer_motion_effort_mismatch,cabinet_oracle_balance_estimable,cabinet_proposal_outcome_estimable,cabinet_same_proposal_bank,cabinet_same_execution_contract,cabinet_near_execution_mode,cabinet_low_execution_mode,cabinet_selected_proposal_match,cabinet_shared_success_count,cabinet_success_set_jaccard,cabinet_matched_cost_proposal_index,cabinet_budgeted_cost_mismatch,cabinet_executed_step_mismatch,cabinet_active_step_mismatch,cabinet_eef_path_mismatch,cabinet_motion_effort_mismatch
v32_closed,v32_closed,True,True,True,True,True,drawer-closed__possession-grasped__locus-cabinet-side__layout-a,-0.026465320563792916,0.030842078859676356,0.022737052775313495,"[0.0, 1.7768686512833483e-16]","[0.012086669907117775, 0.01401756925163448]",True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,8.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.006255140841098482,0.006109788875555857,True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,16.0,0.8888888888888888,0.0,0.0,0.0009592326139088729,0.0,0.0037819583842140913,0.0028029248258708487
v32_closed,v32_closed,True,True,True,True,True,drawer-closed__possession-grasped__locus-cabinet-side__layout-b,-0.02938981047690814,0.029465959558467376,0.022916469976220415,"[0.0, 1.7768686512833483e-16]","[0.007391729161701413, 0.007231165819228875]",True,True,True,True,full_trajectory_replay,full_trajectory_replay,False,26.0,0.9285714285714286,1.0,0.0034934497816593887,0.0,0.0025220680958385876,0.03685646898467981,0.03605005891865559,True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,36.0,1.0,30.0,0.0,0.0,0.0025220680958385876,0.0068191828732104606,0.00800509665638003
v32_closed,v32_closed,True,True,True,True,True,drawer-closed__possession-grasped__locus-drawer-side__layout-a,-0.04679663290096625,0.07999999999999999,0.06970093272872298,"[1.1832676108201085e-16, 0.0]","[0.005621729280463642, 0.005154128475265241]",True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,8.0,0.6666666666666666,1.0,0.0,0.0,0.06814814814814815,0.022139881983662752,0.020060748527995272,True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,16.0,0.8421052631578947,0.0,0.0,0.0009583133684714902,0.06814814814814815,0.025080328391429176,0.02309272458276048
v32_closed,v32_closed,True,True,True,True,True,drawer-closed__possession-grasped__locus-drawer-side__layout-b,-0.04912266541942123,0.07999999999999999,0.07213804856778534,"[0.0, 2.4545750317783184e-16]","[0.00020309658356783584, 0.0005997953827138469]",True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,26.0,0.9629629629629629,1.0,0.0,0.0,0.06489675516224189,0.02093729251483629,0.01929806527840551,True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,33.0,0.9428571428571428,30.0,0.0,0.0,0.06489675516224189,0.028585231212965252,0.028398816964003662
v32_closed,v32_closed,True,True,True,True,True,drawer-closed__possession-on-table__locus-cabinet-side__layout-a,0.0019440195632629553,0.07999999999999995,0.08054528971991849,"[3.0354802619658715e-16, 3.553737302566696e-16]","[0.00441662725182441, 0.006273769526825122]",True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,13.0,0.8666666666666667,1.0,0.0,0.002758620689655172,0.1568627450980392,0.03806241659043422,0.02393206373384927,True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,22.0,0.88,0.0,0.0,0.003656307129798903,0.1568627450980392,0.0411277565957921,0.04244130341080189
v32_closed,v32_closed,True,True,True,True,True,drawer-closed__possession-on-table__locus-cabinet-side__layout-b,0.0002964625431814971,0.07999999999999984,0.08316593896235058,"[0.0, 1.7768686512833483e-16]","[0.009363306312557575, 0.010318308305278788]",True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,28.0,1.0,1.0,0.0,0.0,0.16,0.019901593924002644,0.019582342307106485,True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,36.0,0.9230769230769231,30.0,0.0,0.003616636528028933,0.16,0.026367082590572726,0.04010496198392499
v32_closed,v32_closed,True,True,True,True,True,drawer-closed__possession-on-table__locus-drawer-side__layout-a,0.0010767458065786273,0.07999999999999997,0.0696185541272523,"[2.366535221640217e-16, 1.2272875158891595e-16]","[0.0006622385132842721, 0.0004463753520161296]",True,True,True,True,full_trajectory_replay,full_trajectory_replay,False,12.0,0.8,3.0,0.010666666666666666,0.00823045267489712,0.07407407407407407,0.024876574170444775,0.019724511417896485,True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,23.0,0.9583333333333334,0.0,0.0,0.007326007326007326,0.07407407407407407,0.03431995669372655,0.037296193484027726
v32_closed,v32_closed,True,True,True,True,True,drawer-closed__possession-on-table__locus-drawer-side__layout-b,0.002495040765399803,0.0799999999999998,0.08395810408237556,"[0.0, 0.0]","[0.0011323023014292507, 5.6861569146249244e-05]",True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,26.0,0.9285714285714286,1.0,0.0,0.0,0.09345794392523364,0.013068313546476862,0.011872462920752109,True,True,True,True,full_trajectory_replay,full_trajectory_replay,False,37.0,0.9024390243902439,30.0,0.05442176870748299,0.007272727272727273,0.09345794392523364,0.02110090788548231,0.023872642988918998
v37_open_grasped_completion,v38_factorized_promotion,False,True,False,True,False,drawer-open__possession-grasped__locus-cabinet-side__layout-a,0.0004824239988814316,0.06249396055373678,0.0585448827358486,"[6.696132135235581e-16, 7.10747460513339e-16]","[0.0030068437511257553, 0.0022323141677924323]",True,True,True,True,action_intrinsic_pregrasp_bowl_registered_v1,action_intrinsic_pregrasp_bowl_registered_v1,True,8.0,0.6153846153846154,1.0,0.0,0.003534817956875221,0.002317497103128621,0.028528268916936054,0.030279719405125187,False,True,True,True,action_intrinsic_pregrasp_bowl_registered_v1,action_intrinsic_pregrasp_bowl_registered_v1,,0.0,0.0,,,,,,
v31_open_hard_pair,v31_open_hard_pair,True,True,True,True,True,drawer-open__possession-grasped__locus-cabinet-side__layout-b,0.0050617954192092585,0.07999999999999984,0.06700083621644687,"[4.958633355274433e-16, 3.553737302566697e-16]","[0.038559848425535746, 0.03085674457658643]",True,True,True,True,full_trajectory_replay,full_trajectory_replay,True,1.0,0.5,4.0,0.0,0.0,0.013755158184319119,0.01387618971293154,0.015322401297624577,True,True,True,True,full_trajectory_replay,full_trajectory_replay,False,0.0,0.0,,0.0065451145395044414,0.011417697431018078,0.013755158184319119,0.07148002051189531,0.0744601743638709
