feature_set,horizon,episodes,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared
action_expert_final,0,400,0.3625,0.5259877543187188,0.6256118999323868,0.23101618434179066,0.41692625422508445,0.5478025693035835,0.5425361155698234,33,623,0.8949121749620007
layer_action_expert_layer_15,0,400,0.3625,0.5259877543187188,0.6256118999323868,0.23101618434179066,0.41692625422508445,0.5478025693035835,0.5425361155698234,33,623,0.8949121749620007
robot_state,0,400,0.3625,0.5040902802828215,0.5850169033130493,0.22240985452381082,0.35203809359350224,0.48997971602434076,0.4911717495987159,33,623,0.9912472125182132
vlm_action_expert,0,400,0.3625,0.4901792594766954,0.618498985801217,0.2415952196117916,0.4232657760478764,0.5261392832995266,0.5264847512038523,33,623,0.9039418672308229
all_diagnostic_features,0,400,0.3625,0.4871701252976068,0.6141987829614604,0.24130824379934857,0.4141289184260023,0.5195943204868154,0.5200642054574639,33,623,0.896763261750367
layer_vlm_layer_07,0,400,0.3625,0.46053725391593153,0.6027045300878973,0.24606217910634334,0.391853394651257,0.4972549019607843,0.5152487961476726,33,623,0.8245766726333358
layer_vlm_layer_03,0,400,0.3625,0.45614635975442763,0.5954293441514538,0.2498474472449398,0.398771775719826,0.5004462474645031,0.5264847512038523,33,623,0.8224555927778697
layer_vlm_layer_11,0,400,0.3625,0.45497277783992673,0.5942663962136578,0.2510758237022007,0.39633573400219224,0.5006626098715348,0.521669341894061,33,623,0.8311508178459779
layer_action_expert_layer_07,0,400,0.3625,0.4536962198414283,0.5777146720757268,0.249771026864508,0.3813768692968975,0.510101419878296,0.5136436597110754,33,623,0.8559812399940107
layer_action_expert_layer_11,0,400,0.3625,0.44470660350200636,0.5977281947261663,0.24737872031261193,0.3983551994529434,0.5169709263015552,0.5056179775280899,33,623,0.8985481518986927
layer_vlm_layer_15,0,400,0.3625,0.442278589091293,0.5788505747126438,0.25174257128384003,0.40184397954057494,0.4938471940500338,0.5104333868378812,33,623,0.8014466022225947
vlm_final,0,400,0.3625,0.442278589091293,0.5788505747126438,0.25174257128384003,0.40184397954057494,0.4938471940500338,0.5104333868378812,33,623,0.8014466022225947
layer_action_expert_layer_03,0,400,0.3625,0.4126625105268035,0.548289384719405,0.2629806453592738,0.4060362469313422,0.5108316430020284,0.5409309791332263,33,623,0.7767284173475404
policy_output,0,400,0.3625,0.36682061845556535,0.5411494252873563,0.2630508791800834,0.351140497747839,0.5143745774171737,0.5088282504012841,33,623,0.7188622205956026
action_uncertainty,0,400,0.3625,0.3594260951384196,0.488789722785666,0.25039846734811355,0.3396831907658867,0.447816091954023,0.43820224719101125,33,623,0.4731007479366703
majority_baseline,0,400,0.3625,0.32816091954022986,0.4264367816091954,0.23358984375,0.3625,0.5,0.5,33,623,1.0000000000000013
vlm_action_expert,50,400,0.3625,0.6148512818799495,0.7246788370520622,0.20315451246090294,0.5702967566915514,0.6422447599729547,0.6869983948635634,33,623,0.8043107818123536
all_diagnostic_features,50,400,0.3625,0.6039806895554884,0.7187559161595672,0.20572025239484396,0.5685707673017318,0.6381609195402299,0.6837881219903692,33,623,0.8132912536336473
action_expert_final,50,400,0.3625,0.6026389877051652,0.7019878296146046,0.20722841091434596,0.5592600638575375,0.614631507775524,0.6532905296950241,33,623,0.7420457863277268
layer_action_expert_layer_15,50,400,0.3625,0.6026389877051652,0.7019878296146046,0.20722841091434596,0.5592600638575375,0.614631507775524,0.6532905296950241,33,623,0.7420457863277268
layer_action_expert_layer_11,50,400,0.3625,0.5558130984230831,0.6655307640297499,0.2182152578040548,0.5349720557345431,0.5936713995943205,0.6388443017656501,33,623,0.7908595491117021
layer_action_expert_layer_07,50,400,0.3625,0.5357782396995355,0.6570114942528734,0.22009368696296058,0.49376271264796345,0.5817444219066937,0.6019261637239165,33,623,0.8090328842586499
