feature_set,horizon,suite,episodes,failure_prevalence,auprc,auroc,brier
action_expert_final,0,libero_10,100,0.56,0.7794637219729713,0.6838474025974027,0.26001591734246554
action_expert_final,0,libero_goal,100,0.17,0.19942615029967503,0.44436569808646353,0.1525904122532974
action_expert_final,0,libero_object,100,0.33,0.3935976472407022,0.5757575757575757,0.2346216646239815
action_expert_final,0,libero_spatial,100,0.39,0.41460316600997116,0.548129466162253,0.276836743147418
action_uncertainty,0,libero_10,100,0.56,0.668249430876292,0.650974025974026,0.25324850100065477
action_uncertainty,0,libero_goal,100,0.17,0.17001120466886052,0.4975194897236003,0.2536402706800848
action_uncertainty,0,libero_object,100,0.33,0.39005571766191693,0.5291723202170963,0.2409934162880376
action_uncertainty,0,libero_spatial,100,0.39,0.3562913289062582,0.41866330390920553,0.253711681423677
all_diagnostic_features,0,libero_10,100,0.56,0.757092756133336,0.6749188311688312,0.25450598892159065
all_diagnostic_features,0,libero_goal,100,0.17,0.15859829628082614,0.4755492558469171,0.1604235410817247
all_diagnostic_features,0,libero_object,100,0.33,0.38392928885845035,0.6056083220262325,0.24535644269459883
all_diagnostic_features,0,libero_spatial,100,0.39,0.42066383340779123,0.4863387978142077,0.30494700249948026
layer_action_expert_layer_03,0,libero_10,100,0.56,0.6310406260320033,0.578327922077922,0.33474189399883736
layer_action_expert_layer_03,0,libero_goal,100,0.17,0.15822211007758633,0.4514528703047484,0.15913407985814992
layer_action_expert_layer_03,0,libero_object,100,0.33,0.3166658059038914,0.40208050655811856,0.2578895501048988
layer_action_expert_layer_03,0,libero_spatial,100,0.39,0.3805597609496555,0.4228667507356032,0.3001570574752091
layer_action_expert_layer_07,0,libero_10,100,0.56,0.6516497158945618,0.6254058441558442,0.3106103093394775
layer_action_expert_layer_07,0,libero_goal,100,0.17,0.14448816402080952,0.39900779588944013,0.1754549089308242
layer_action_expert_layer_07,0,libero_object,100,0.33,0.3965954530819146,0.606060606060606,0.22205153246328646
layer_action_expert_layer_07,0,libero_spatial,100,0.39,0.41377138208653724,0.4649012189995797,0.29096735672444385
layer_action_expert_layer_11,0,libero_10,100,0.56,0.6940410691190619,0.6603084415584415,0.2784731718785725
layer_action_expert_layer_11,0,libero_goal,100,0.17,0.16480611044941101,0.4720056697377747,0.18490187846429973
layer_action_expert_layer_11,0,libero_object,100,0.33,0.3881448132135452,0.5784712799638173,0.2317329173786451
layer_action_expert_layer_11,0,libero_spatial,100,0.39,0.3631159268116115,0.44976881042454814,0.29440691352893045
